topic,hashtag,tweet_id,image_path,sample_path,body_text,image_text,text_with_OCR
Mask,masks,1289427764341166080,./data_Mask/masks/tweets1/EeT3toLVAAAv1EA.jpg,./annotation_data/Mask/EeT3toLVAAAv1EA.jpg,I #feel like #crap but #alive so im #happy for #that. Have to #shop then #get on with more #masks. Cant #wait. https://t.co/54ZhuA1Zis, WERK ,
Vaccine,CoronavirusVaccine,1295569664861380608,./data_Vaccine/CoronavirusVaccine/tweets3/EfrI7yGUEAAyPGX.jpg,./annotation_data/Vaccine/EfrI7yGUEAAyPGX.jpg,"are you getting it now?
see how this game is played?
rinse and repeat in every country on earth..
#CoronavirusVaccine https://t.co/jMrsw5iDcQ", No influenza deaths recorded in Australia so far this winter AUGUST 17 2020 426pm WATCH VIDEO THE NEWSCOMAU  150 Can you catch COVID19 twice ,No influenza in so far this winter AUGUST WATCH ae aa VIDEO ta ae ae ae We Can you catch twice of
Boomer,karen,1297799651899449346,./data_Boomer/karen/tweets4/EgK15rHWAAAshUU.jpg,./annotation_data/Boomer/EgK15rHWAAAshUU.jpg,"@thekjohnston Oh look, a bored, white, jobless but probably unemployable attention-seeker #karen https://t.co/9t13yWKnDD", Groundbreaking ,He wy
Political,Trump2020,1298444723837964289,./data_Political/Trump2020/tweets4/EgUAmGhWoAU7E2o.jpg,./annotation_data/Political/EgUAmGhWoAU7E2o.jpg,#Trump2020Landslide  #Trump2020 #Trump the war is coming..  get ready to defend this beautiful land.. https://t.co/varRZ3pY0W, ll  55 950 PM Mon Aug 24 Mike Kaminsky v Katy Krasnow Hickman County Antifa 17h Election Day nears Comrades Prepare to defend your rights ANTIFA COMRADES ON NOV 4 DONT FORGET TO DISGUISE YOURSELVES AS PATRIOTSTRUMP SUPPORTERS WEAR MAGA HATS USA FLAGS 3ER INSIGNIAS A CONVINCING POLICE UNIFORM IS EVEN BETTER THIS WAY POLICE AND PATRIOTS RESPONDING TO US WONT KNOW WHO THEIR ENEMIES ARE AND ONLOOKERS AND THE MEDIA WILL THINK THERE ARE TRUMP SUPPORTERS RIOTING SO ITS HARDER TO TURN POPULAR OPINION AGAINST US Type Message Me We O GIF  ,Ce on County PROSE Tae nese ON DONT FORGET TO DISGUISE YOURSELVES AS Me cee en Ce POLICE UNIFORM IS EVEN BETTER Od
Mask,WearAMask,1293828701612847104,./data_Mask/WearAMask/tweets2/EfSaVzEWAAEkr3N.jpg,./annotation_data/Mask/EfSaVzEWAAEkr3N.jpg,Mask back on....#wearamask #train #sloterdijk @ns_online #wear #facemask #travelling #london #amsterdam #publictransport #openbaarvervoer #plane #flying #schiphol #lutonairport @easyjet @schiphol @ldnlutonairport #actor #actorslife #workingactor #iamsterdam #travel #traveller https://t.co/aj3qG9yMte, 1033 Leiden C Welkom in de Sprinter naar Lelylaan chiphol Airport eiden C rtrektijd 1035 48 ,olden ey ree AN Ta Me ay
Mask,masks,1293635002773786626,./data_Mask/masks/tweets2/EfPqLYDWsAAXQPI.jpg,./annotation_data/Mask/EfPqLYDWsAAXQPI.jpg,"Join my office this week as we co-host a few giveaways including food boxes, masks, &amp; hand sanitizers.  

Supplies are limited &amp; will be distributed on a first come, first serve basis. 

#masks #handsanitizers #foodboxes #bronx #nyc #giveaway https://t.co/DSjfR5Al47", New York State New York State Assemblywoman Nathalia Fernandez Senator Jamaal T Bailey present a FOOD BOX AND MASK GIVEAWAY DATE  Thursday August 13th 100pm LOCATION  Allerton Coops 2850 Bronx Park East Corner of Arnow Street StopTheHunger OFFICE OF ASSEMBLYWOMAN NATHALIA FERNANDEZ CONTACT 7184090109 OR DISTRICT80NYASSEMBLYGOV Abell Masks and Hand Sanitizers Provided By BOOKS FOUCAtIOn TARNG I Made with PosterVyoWailcom ,New York State al Senator Dar Rater ACT FOOD BOX AND MASK DATE August LOCATION Park East Corner of Street Se ce US Ea RA and Hand Provided By
Vaccine,CoronavirusVaccine,1293151031505821696,./data_Vaccine/CoronavirusVaccine/tweets2/EfIx5eFVoAAltxk.jpg,./annotation_data/Vaccine/EfIx5eFVoAAltxk.jpg,"#RussianVaccine

Russia registered world first #CoronavirusVaccine, President Vladimir Putin says his own  daughter vaccinated with that #RussianVaccine......🙏🏻🙏🏻 https://t.co/TuQIZiQv03", THE WORLDS FIRST CORONAVIRUS VACCINE REGISTERED IN RUSSIA Vacciar COVID Vaccine COVID19 Vaccim COVID H 3 RUSSIAN PRESIDENT VLADIMIR PUTIN SAYS HIS OWN DAUGHTER HAS BEEN VACCINATED WITH THE VACCIN ,ann pina ae ey at PRESIDENT WITH THE VACCINE
Mask,WearAMask,1292792814049177601,./data_Mask/WearAMask/tweets2/EefN0wNXYAII6eM.jpg,./annotation_data/Mask/EefN0wNXYAII6eM.jpg,"My adventures in Electronica 💿 @DesignMuseum 😷
#Art #ElectronicMusic #CeraAlba #WearAMask https://t.co/WohhXEnkFq", ELE CTRO NI gooze ,NI ae ae
Political,Trump2020,1290096753144807425,./data_Political/Trump2020/tweets1/EedYKPYXkAAonhv.jpg,./annotation_data/Political/EedYKPYXkAAonhv.jpg,"@RepAdamSchiff @Gerrrrrrrr8 Let me make this #PerfectlyClear
#Trump2020
#GodBlessAmerica 
#GodBlessPresidentTrump https://t.co/YZE1LMTPkv", Its no longer Republicans versus the Democrats its America versus socialism House Majority Leader  Kevin McCarthyCalifornia ,Its no longer on versus the its versus socialism House Majority Leader
Political,Election2020,1300138098475450368,./data_Political/Election2020/tweets5/EgsEtdFU8AAMywZ.jpg,./annotation_data/Political/EgsEtdFU8AAMywZ.jpg,Via @MotherJones: Former Intel Officials Thought Mueller Was Investigating Trump’s Personal and Financial Ties to Russia. He Wasn’t. https://t.co/l5uE4oaeGV | #politics #trump #election2020 https://t.co/WhrSJOeKsS,,Bu Bo se whey
Boomer,karen,1297131490585784321,./data_Boomer/karen/tweets4/EgBWN0UXsAAcil_.jpg,./annotation_data/Boomer/EgBWN0UXsAAcil_.jpg,"Good morning Karen......how many of you agree with Karen’s pronunciation????  
More to come in separate tweet #Karen #whatdidusay https://t.co/UPMNHluDLd", Aluminum Foil  10 full Reynolds Wrap 200 TRUSTED AROUND THE WORLD SINCE ,Aluminum War aa Oe
Immigration,immigration,1290831908998221825,./data_Immigration/immigration/tweets1/Een0xkMU0AAyyEl.jpg,./annotation_data/Immigration/Een0xkMU0AAyyEl.jpg,"Up until December 31, 2020 #IRCCC will not deduct the study time completed by #internationalstudents outside of Canada for the purposes of their Post-Graduation Work Permit (PGWP). 

#canada #immigration #travel #study #foreign #studypermit #work #study #stay #pgwp #canadajobs https://t.co/G73N9iMYd5",,Ey
Boomer,trumpliesamericansdie,1293543007816314880,./data_Boomer/trumpliesamericansdie/tweets2/EfOWgevXkAU9XWG.jpg,./annotation_data/Boomer/EfOWgevXkAU9XWG.jpg,"@realDonaldTrump @foxandfriends @MariaBartiromo Not this one!
#TrumpIsANationalDisgrace 
#TrumpVirusCatastrophe #TrumpHasNoPlan #TrumpIsUnwell #TrumpLiesAmericansDie https://t.co/vznzxC3KBs", Mary L Trump O  16h We are going to take our country back Thank you JoeBiden KamalaHarris is going to be our next VP Its time BidenHarris2020 WeHaveHerBack BlueWave2020 BlueTsunami2020 VOTE ,Mary Trump We are going to take our country back Thank you is going to be our next Its time VOTE
Immigration,cdnpoli,1289977533673254913,./data_Immigration/cdnpoli/tweets1/EebrujFUYAAEoy0.jpg,./annotation_data/Immigration/EebrujFUYAAEoy0.jpg,"Donald J #Trump, aka The Donald, media marvel, but...
FAILURE TO DELIVER. #uspoli #GOP #maga2020 #kag2020 #covidiots #covid19 #POTUS45 #FoxNews #cdnpoli https://t.co/ZQ5gA6PlpL", MAPVEL AGE OF THE LAMPS ,pi GE if AE ES
Political,Trump2020,1296968968289345536,./data_Political/Trump2020/tweets4/Ef_CZSBWkAAP-FV.jpg,./annotation_data/Political/Ef_CZSBWkAAP-FV.jpg,"“Straight Outta Tha Communist Manifesto”
#JoeBlow #JoeAndTheHoe #Trump2020 #Trump2020Landslide https://t.co/kHCLnLh0P0", IF THIS WAS A ALBUM COVERWHAT WOULD YOU NAME ITO PARENTAL ADVISORY EXPLICIT CONTENT made with mematic ,IF THIS WAS ALBUM COVER vee WOULD YOU IT ne Ge io oe date ne tA we Wo oS
AsianHate,ChinaLiedPeopleDied,1297404417201729537,./data_AsianHate/ChinaLiedPeopleDied/tweets4/EgFOZFXUMAAyyUm.jpg,./annotation_data/AsianHate/EgFOZFXUMAAyyUm.jpg,"@StateDept @SecPompeo Freedom is not free, we must stop #CCPChina to crushing our freedom and human rights, we all know that CCP is terrism. 
#ChinaLiedPeopleDied #CCP_is_terrorist https://t.co/bygxa32VyA", CC The CCP lies and makes those who tell the truth UNUM disappear SECRETARY OF STATE MICHAEL R POMPEO Photo State DeptRon Przysucha ,ae and those ne who tell the truth SECRETARY OF STATE
Political,Trump2020,1295728759711109124,./data_Political/Trump2020/tweets3/EftablLWsAEEsdq.jpg,./annotation_data/Political/EftablLWsAEEsdq.jpg,@JoeBiden Obama-Biden’s response to the H1N1 was a total disaster! But like a lot of things they got a free pass from the Fake News Media! #coronavirus #Trump2020 #MAGA https://t.co/Q0ih2Iaqm0, Trump War Room  Text TRUMP t TrumpWarRoom During the 2009 swine flu pandemic the ObamaBiden Administration suddenly told states to SHUT DOWN their testing Obama admin shut down H1N1 testing complicating Bidens attacks on Trumps cor foxnewscom ,eM During the swine flu pandemic the Administration suddenly told to SHUT DOWN their testing oe oe shut down testing on cor
Mask,masks,1298378857423101952,./data_Mask/masks/tweets4/EgTEr14U0AEK1JL.jpg,./annotation_data/Mask/EgTEr14U0AEK1JL.jpg,"Back to school shopping with my new high school student. Maybe my tee will be a reminder to the anti-maskers. But I doubt it. 

#masks
@NHM_London 
@NHM_Science https://t.co/ZCys0W8pkV", NE BUILT I CHARLES DARWIN ON THE ORIGIN OF SPECIES WORLD TOUR ,na aA ON THE ORIGIN OF SPECIES WORLD TOUR
Political,maga,1291080659767889920,./data_Political/maga/tweets1/EerXA8YXYAYTHrz.jpg,./annotation_data/Political/EerXA8YXYAYTHrz.jpg,"One Party supports post-birth abortion.

The other Party puts “Faith” on their rally signs.

I’ll go with Faith.

#MAGA #KAG #FlaPol https://t.co/3RFK3BoKrZ", AMERICA ,AN in at Po aa
Immigration,americafirst,1295930048583815168,./data_Immigration/americafirst/tweets3/EfwRdl_WoAAuKgA.jpg,./annotation_data/Immigration/EfwRdl_WoAAuKgA.jpg,"Vindiciae Contra Tyrannos: Defense of Liberty Against Tyrants.

Good night @POTUS @FLOTUS and all Patriots!

#DefeatSpanberger #Virginia #VoterID #Hannity #IngrahamAngle #BlueLivesMatter #Military #2A #BackTheBlue #VoteRed2020 #AmericaFirst #AmericansFirst #1A #FoxNewsAtNight https://t.co/DQKltGVRw7", WE DONT CARE WHICH ONE YOU ARE WE ARE AGAINST ALL ENEMIES FOREIGN AND OMESTIC facebook PadriolRevohbion  YOUR ASS IS OURS ,WED CARE WHICH ONE YOU ARE WE ARE AGAINST ALL FOREIGN we Ay cal oil YOUR ASS IS
Mask,facemask,1290302385873551373,./data_Mask/facemask/tweets1/EegTLTzU0AEIrRG.jpg,./annotation_data/Mask/EegTLTzU0AEIrRG.jpg,So happy wearing this fabulous face mask by @dianamputri while conducting rapid test last Friday! Wohoo! &gt;&lt; #facemask #dianacouture https://t.co/pGoSHpsanD, n pengunjung wajib menggunakan nasuki lingkungan rumah sakit BOKS 4OME ,aa
Boomer,trumpliesamericansdie,1291012085929971714,./data_Boomer/trumpliesamericansdie/tweets1/EeqYNtOXYAIpsGT.png,./annotation_data/Boomer/EeqYNtOXYAIpsGT.png,"@HuffPostWomen July 31, NPR reported Florida COVID19 death toll keeps rising. However, after the #axios interview NPR posted #Florida cases/deaths are in a decline. 
#TrumpLiesAmericansDie 
#FloridaCovidEpicenter #Floridacoronavirus #covid19 https://t.co/X8heHNA2o5", NPR npr 4d O Florida has set a new record for the number of COVID19 deaths for the fourth day in a row What were seeing now is the result of the push to open the state a public health expert says About this website NPRORG In Florida COVID19 Death Toll Keeps Rising Florida keeps setting daily death toll records from COVID19 The state is 8K 16K Comments 17K Shares ,coir Se ea ne eR So En open the state public health expert me Yr PUR Tin alee rami setting daily death toll from The state is wah
Immigration,cdnpoli,1295791153363562496,./data_Immigration/cdnpoli/tweets3/EfuSg7HU8AAU9FF.jpg,./annotation_data/Immigration/EfuSg7HU8AAU9FF.jpg,"Congratulations @cafreeland, a #Harvard and #Oxford University alumni for accepting #Canadian Finance Minister role during this difficult time. Needless to say, you are one of my role model politicians in the world. #cdnpoli  @JustinTrudeau @liberal_party https://t.co/uYzzC6n1Hg", Chrys Liberal Liberal FRI Chrystia FREELAND Liberal rystia ,es
Boomer,trumpliesamericansdie,1292988243886170117,./data_Boomer/trumpliesamericansdie/tweets2/EfGdrJ3XYAIrNeU.jpg,./annotation_data/Boomer/EfGdrJ3XYAIrNeU.jpg,"Reporters SHOULD #InterruptTrump , and all WALK OUT as one when he lies and bullies a fellow reporter. 
His ""briefings"" are no more than masturbatory rallies for himself anyway, and not worthy of even covering! 
#TrumpIsACompleteFailure #LiarInChief #TrumpLiesAmericansDie https://t.co/54mNQ4RL7S",  TRUMP 2020 IT IS WHAT IT IS  SCAMAZON ,aa Ta za AS
Boomer,karen,1292158690938646529,./data_Boomer/karen/tweets2/Ee6re1qVAAASLVr.jpg,./annotation_data/Boomer/Ee6re1qVAAASLVr.jpg,2 Bedroom (All En-suite) - KILIMANI https://t.co/edAF8BYC4j #realestate #realestateagent #Karen #Homes #Houses #bungalow #Villas #Holidays #vacaymode #Affordable#GatedCommunity #Furnished #Plots #LandforSale #nairobi #ForSale #coronaviruskenya #Realtor #NairobiApartments... https://t.co/QdU3DNdjfM, G GOLDMUT wwwgoldmulgroupcoke 254 780 788 784 ,tH oe wi
Immigration,americafirst,1298375010113945600,./data_Immigration/americafirst/tweets4/EgTBK-tXsAUI3bp.jpg,./annotation_data/Immigration/EgTBK-tXsAUI3bp.jpg,He's gonna mail in his vote. #America #AmericaFirst #RNC2020 #freedom @J47130015 @catturd2 @DonaldJTrumpJr @realDonaldTrump @w_terrence #SocialismKills https://t.co/NdLzRbe5n9, BIDEN BIDEN FOR TRUMP ,
Vaccine,VaccinesWork,1298624526176202752,./data_Vaccine/VaccinesWork/tweets4/EgWjYVyWkAEa7eo.jpg,./annotation_data/Vaccine/EgWjYVyWkAEa7eo.jpg,"Africa reached a remarkable milestone and was declared wild #polio free

Because #VaccinesWork
Because of reliable supply chains
Because of strong partnerships
Because of dedicated health workers
 
Congratulations to #Africa and to everyone supporting the fight to #EndPolio. https://t.co/gU6L3P89vT", EndPolio 062 unicef O for every child ,for every child
AsianHate,ChinaVirus,1298246090517614593,./data_AsianHate/ChinaVirus/tweets4/EgRLtJ5XYAIMMOt.png,./annotation_data/AsianHate/EgRLtJ5XYAIMMOt.png,Have you seen how #Chinavirus introduced all kind of #ConspiracyTheories  and #qanon into Mainstream population talk in the last couple of months. Now everybody is Conspiracy Theorist or Living the Conspiracy ? https://t.co/MpRQdnw10s, If they say people who do not vaccinate are a danger to people who do vaccinate what are those vaccines actually for then  Just trying to free your mind  Morpheus ,If they say people who do not vaccinate are danger to people who do vaccinate what are those actually for then mind Just trying to free your me
AsianHate,CCPVirus,1293531005043855361,./data_AsianHate/CCPVirus/tweets2/EfOKPNkWAAApjCj.jpg,./annotation_data/AsianHate/EfOKPNkWAAApjCj.jpg,"@honghong975 CCP tries to colonize our country Iran by a secret 25-years treaty. CCP will never stop its expansionism ideology and will delete freedom once they control a country.
We must get united against #CCPVirus.
🦁☀️+🇭🇰+🇹🇼+🇮🇳+🇦🇺
#MilkTeaAlliance https://t.co/CNdoH9DlbI", lalamny  D With 2100 209   rEE Hong Kn BAN LIBERATE HONG KONG IRA ellicom IS NORUAWEI BAN HUAWEI RELN OF DUR TIME RELEASE No War 23  Your People IRANS Greatest Regime IN LIBERATE HONG KONG  ALA IRANIAN LIVES MATTER Stop executing children in REVOLUTION OF DUR TIMES IRAN ,poe ae om aa Pay pat ae Cay mY LIBERATE HONG or wet
Boomer,trumpliesamericansdie,1298965693904433152,./data_Boomer/trumpliesamericansdie/tweets4/Egbaag1WoAIaO1c.jpg,./annotation_data/Boomer/Egbaag1WoAIaO1c.jpg,@CDCgov changes guidelines under direction of @realDonaldTrump a government agency bows down to the whim of a dictator #CDCBowsToTrump #TrumpLiesAmericansDie #TrumpLiesPeopleDie https://t.co/P7tqS2iENh, THANK ME FOR THE TREMENDOUS JOB im DOING ,ME FoR ie DOING oR ge As ey
AsianHate,chinesevirus,1297472566743961600,./data_AsianHate/chinesevirus/tweets4/EgGLs-LXgAIL3jL.png,./annotation_data/AsianHate/EgGLs-LXgAIL3jL.png,@chothep @bennetowuonda @SolomonKarori2 @Olaf_Ke @MwangP01 @Luther_Gen @slmiheso @WilsonWaGitau on another issue... these pics are making rounds all over social media even as billions meant for #ChineseVirus are being shared by the elite even before they touch the ground. &amp; some will arrogantly claim nani hawezi pata 50bob ya mask. yeah we always blame the victims https://t.co/omq5MsIMeo, EACCKemsaExposed OTOLEO ,ni iF ae
Political,maga,1289618559597912064,./data_Political/maga/tweets1/EeWlPqOUEAICsE5.jpg,./annotation_data/Political/EeWlPqOUEAICsE5.jpg,"@RetiredMaybe The @thejuicemedia prepared similar videos showing trump administrations EPIC FAILURES 

Example

https://t.co/eiAf2mavAu

Completely outlines failed religious conservative republican ideology (you’re lazy) &amp; damage done to America

#SaturdayThought #2020Election #COVID19 #MAGA https://t.co/fsDpw1YSFs", THE WHITE HOUSE WASHINGTON PANDEMIC RESPONSE UPDATE Get IceCool AC CLICK NOW Ad techlopercom Honest Government Ad  A message from the White House 291K views  1 day ago 21K 12K Share Download Save  ,THE WHITE HOUSE PANDEMIC RESPONSE Get Honest Government Ad message from the White House day ago lad aye Sire
AsianHate,ChinaVirus,1294875623417159681,./data_AsianHate/ChinaVirus/tweets3/EfhScg9XYAADhxf.jpg,./annotation_data/AsianHate/EfhScg9XYAADhxf.jpg,"@Britnabee @BernardKerik @realDonaldTrump Oh, #ChinaVirus, Biden’s country https://t.co/yjPmj1bidK", Top three toughest jobs in America right now D Police officer 2 Crab fisherman 3 Sign language interpreter for Joe Biden ,Top three in right now fisherman interpreter for Joe
AsianHate,ChinaLiedPeopleDied,1299993046776389633,./data_AsianHate/ChinaLiedPeopleDied/tweets5/EgqAyPfU4AAlqe5.jpg,./annotation_data/AsianHate/EgqAyPfU4AAlqe5.jpg,Sri Lanka's India first policy has massive implications for regional security. Great step to protect South China Sea and hegemony of China in the region. #SouthChinaSea #ChinaLiedPeopleDied #SriLanka #ChineseButcher https://t.co/PAaA58CPSw, Will have India first policy China port k deal a mistake Lanka AP ers lls nd ng ith ili Iti ga on ers che 20 ex re President Gotabaya Rajapaksa right seen here with his brother and PM Mahinda Rajapaksa has said Sri Lanka cannot afford to be a strategic security threat to India We need to benefit from India ,Will have UG aCe ES ae st tat yn wae Ay right seen here with his brother said Sri ra Beam ak oe aL
Vaccine,VaccinesWork,1295391201655508992,./data_Vaccine/VaccinesWork/tweets3/EfonbtJWsAAfuso.jpg,./annotation_data/Vaccine/EfonbtJWsAAfuso.jpg,"Fearing a ‘Twindemic,’ Health Experts Push Urgently for #FluShots | @nytimes #COVID19 #VaccinesWork https://t.co/ewXFSJhVXe https://t.co/2Ove2PAOpB", TERS ,ae fi
Boomer,karen,1295812713319292928,./data_Boomer/karen/tweets3/Efpz0s2XgAI1l-7.jpg,./annotation_data/Boomer/Efpz0s2XgAI1l-7.jpg,"Watch full video here: https://t.co/aRU8fJgiqy

#karenmemes #karensgonewild #karenmeme #freakout #freakouts #karenmemes #calmdownkaren #wayment #karen #karens #amycooper #tiktok #karenculture #Publicfreakout #Publicfreakouts #Karenfreakout #Karenfreakouts https://t.co/k2ePQGDaQ1", RACIST KAREN ARRESTED FOR ATTACKING LANDSCAPE WORKERS ,
Immigration,buildthewall,1291102942431531009,./data_Immigration/buildthewall/tweets1/EerrSNoXYAQRDAz.jpg,./annotation_data/Immigration/EerrSNoXYAQRDAz.jpg,"Deming, NM
28 January 2020

Border Barrier Construction: El Paso 1

A workman smooths the top of the concrete footing

BLOG https://t.co/Kw0s0Y56pX

#BuildTheWall #FinishTheWall
#QuikTake qt-twall-1359 by #borderObserver https://t.co/mjg6rYq7Qi", Www ,ye tee
Immigration,americafirst,1297402556918804482,./data_Immigration/americafirst/tweets4/EgFMvv1U4AEBe3w.jpg,./annotation_data/Immigration/EgFMvv1U4AEBe3w.jpg,"Dan Demers found out today on @AKW_Glory #AKWVelocity that when your #PresidentOfTheArena signs an #ExecutiveOrder, its over. There are no second chances to foreigners spitting on America. #TheAKWUSChampionYouDeserve #AmericaFirst #GodBlessAmerica https://t.co/hOTkGVlijk", ZECT  DA  2020 O MENU VELOCITY ,Ad ae
Immigration,immigration,1297503994735140864,./data_Immigration/immigration/tweets4/EgGpAWHXYAABXiQ.jpg,./annotation_data/Immigration/EgGpAWHXYAABXiQ.jpg,"Amnesty Solicitors has a reputation for their litigation work. 
Find out more on our website 👉 https://t.co/rEfbBc7QYv
#immigration #uk #litigation #solicitors https://t.co/lFinZhweGI", AMNESTY SOLICITORS Legal Services for all Litigation matters ,Legal for all Litigation
Boomer,karen,1297236717695414273,./data_Boomer/karen/tweets4/EgC03XHU4AAZNEL.jpg,./annotation_data/Boomer/EgC03XHU4AAZNEL.jpg,"Your DOLCE &amp; GABBANA Perfume
♪😅 

#瑛人 #香水 #KAREN #藤井夏恋 https://t.co/TgvdqyPjas",,an it
Boomer,trumpliesamericansdie,1292236130772045830,./data_Boomer/trumpliesamericansdie/tweets2/Ee7x5wmWsAIb90F.jpg,./annotation_data/Boomer/Ee7x5wmWsAIb90F.jpg,"@JHoganGidley @realDonaldTrump Stop trying to shove this monster down our throats.

We hate him. We really hate him.

#TrumpGenocide
#TrumpGestapo #TrumpIsAMasdMurderer #TrumpLiesAmericansDie https://t.co/Sv6qAF0RfH", DONNIE BODYBAGS 160000 DEATHS AND COUNTING imgflipcom ,AND COUNTING
Mask,NoMasks,1289509188712804352,./data_Mask/NoMasks/tweets1/EeVBxTaUcAAQCcm.jpg,./annotation_data/Mask/EeVBxTaUcAAQCcm.jpg,"@DanielAndrewsMP folks!!!
Your supreme ruler. At least he shares my sentiments on the #NoMasks ordeal.
While he plans his next move to decimate the city I grew up in, just remember we see this. 
You will answer for your crimes. 
#resignDanAndrews #corrupt https://t.co/Huy6mL4VUW", SE ON FU anta ADIDAS IMPOSSIBLE IS NOTHING ,COs he Ay anes
